name,id,gender
Stijn Coninx,81964,0
John Cassavetes,11147,2
Stacy Cochran,129708,1
Jean-Claude Van Damme,15111,2
Mark Joffe,59438,2
Steve Gomer,104507,2
Lee Tamahori,7256,2
Michael Lehmann,7145,2
George Scribner,71792,2
Tom DeCerchio,1175207,0
Alan Shapiro,129941,2
Angela Pope,1016352,1
Betty Kaplan,1585647,1
Jim Jarmusch,4429,0
Jean-Paul Rappeneau,25950,2
Jack Hill ,31310,2
Manuel Gómez Pereira,108499,0
Jean-Marie Poiré,64909,2
Harold Ramis,1524,2
Brett Thompson,940684,0
Francesco Sframeli,1093108,0
Spiro Scimone,1093110,0
Andrew Fleming,41549,2
Reginald Hudlin,68215,2
Bruce Beresford,5696,2
,,
John Schlesinger,19304,2
Stephen Quay,124237,2
Timothy Quay,124238,2
Phil Joanou,18500,2
Larry Cohen,19266,2
Michael Bay,865,2
Harvey Miller,29706,2
Michele Soavi,87680,2
Jan de Bont,2209,2
David Hogan,70792,2
Maurice Pialat,16988,2
Gabriel Barylli,564791,0
Mamoru Oshii,12180,2
Tom Holland,64796,2
Rick Friedberg,65548,2
Udayan Prasad,145304,2
Nick Park,7314,2
Abraham Polonsky,81976,0
John Landis,4610,2
David Twohy,28239,0
Robert Z. Leonard,93906,0
Stanley Kubrick,240,2
Guy Maddin,97579,2
John O'Brien,153908,2
John Irvin,17784,2
Kevin James Dobson,114468,2
Victor Saville,14860,0
Helena Solberg,1090082,0
Wong Kar-wai,12453,2
Ebrahim Forouzesh,1209349,0
Freida Lee Mock,223825,0
Joseph Vilsmaier,14614,2
Simon Wincer,18254,0
Andrew Bergman,41550,0
David Keating,229695,2
James Mangold,366,2
Francis Ford Coppola,1776,2
Mary Harron,16378,1
Charles Matthau,122728,0
Goran Paskaljević,1009298,0
Mwezé Ngangura,1184422,0
Benoît Lamy,24409,0
Jean-Pierre Bekolo,1177451,0
Djibril Diop Mambéty,1079380,0
Gaston Kaboré,1153142,0
Federico Fellini,4415,2
Louis Malle,15389,2
Roger Vadim,53767,2
Henry Jaglom,117075,2
Victoria Foyt,990400,0
Robby Henson,21415,2
Danny Boyle,2034,2
Scott Winant,1214396,2
Roland Emmerich,6046,2
Bernardo Bertolucci,4956,2
Tony Scott,893,2
Gary Trousdale,62047,2
Kirk Wise,62048,2
Ben Stiller,7399,2
Bobby Farrelly,7395,2
Peter Farrelly,7396,2
Chuck Russell,26713,2
Carma Hinton,240366,0
Richard Gordon,30811,0
Tom Shadyac,4499,2
María Luisa Bemberg,1066960,1
Lucian Pintilie,592762,2
Gazdag Gyula,544331,2
Gérard Mordillat,41521,0
Mel Chionglo,262130,0
Alexandre Rockwell,3111,2
Christopher Larkin,1144694,2
Laurent Heynemann  ,138795,0
Rob Cohen,18878,2
Peter Jackson,108,2
John Sayles,102445,2
Bronwen Hughes,18320,1
Jon Turteltaub,12962,2
Nicole Holofcener,56539,1
Edward Burns,12833,2
Joel Schumacher,5572,2
Michael Corrente,77076,2
Éric Rohmer,28615,2
Fraser Clarke Heston,66076,0
Kevin Hooks,40230,2
Paul Michael Glaser,12988,2
Ildikó Enyedi,1059880,1
Howard Franklin,2357,0
Mitch Marcus,30869,0
Jaime Hellman,1046588,0
Nicolas Roeg,14132,2
Arlene Sanford,15042,1
Maurizio Nichetti,225140,2
Luis Buñuel,793,2
Paul Turner,87397,0
Éric Rohmer,28615,2
Peter Sehr,56201,2
Gernot Roll,1870,2
Rolf Silber,48685,2
Peter Weck,6258,2
Manoel de Oliveira,81749,0
Steve Barron,18308,2
John Payson,71110,2
Hugh Wilson,28904,2
Nigel Finch,179609,0
Ron Howard,6159,2
Hart Bochner,7678,2
Doug Ellin,183036,2
Annette Haywood-Carter,119310,1
Andrew Davis,12989,2
Danny DeVito,518,2
Douglas McGrath,32983,2
Tim Pope,65602,2
Harry Winer,92554,2
Georges Franju,37302,2
Gilbert Adler,10953,2
John Rubino,1080308,0
Yin Li,1189125,0
Yim Ho,146295,0
Hal Hartley,91343,2
Marcus DeLeon,117808,0
Lee David Zlotoff,1232954,0
John Carpenter,11770,2
Tran Anh Hung,107730,2
Julian Schnabel,7482,2
Ron Shelton,4037,2
Rolf de Heer,112674,0
Keisuke Kinoshita,587603,0
Nicole Garcia,24485,1
Leone Pompucci,252740,0
Zheng Jun-Li,1112331,2
Francis Ford Coppola,1776,2
Sönke Wortmann,1869,0
Stanley Tong,44916,2
Lisa Krueger,124092,1
Mikio Naruse,125690,0
Gillies MacKinnon,33405,2
Lana Wachowski,9340,1
Lilly Wachowski,9339,1
Arthur Hiller,133259,2
John Ruane,1155073,0
Robert Altman,9789,2
Christopher Cain,56828,2
Peter Shaner,1276348,0
Tsai Ming-liang,71174,2
Daniel Schmid,64219,2
Tim Metcalfe,69042,2
Izidore K. Musallam,232119,0
Stanley Tong,44916,2
Jim McKay,205639,2
Karim Dridi,118513,2
Peter Hyams,37710,2
John Frankenheimer,13776,2
Richard Stanley,42175,2
David M. Evans,69741,2
David Koepp,508,2
Gary Winick,17046,2
Norman Jewison,13563,2
Ernest R. Dickerson,15521,2
Nick Hamm,6361,2
Roy Allen Smith,24346,2
Theo van Gogh,28889,0
,,
Joe Chappelle,55116,2
Trevor Nunn,98750,2
Keith Gordon,33054,0
Max Ophüls,14353,0
Jan Jakub Kolski,587971,0
André Téchiné,96627,2
Sam Wood,10790,2
George Cukor,14674,0
Stanley Donen,13284,2
Gene Kelly,13294,2
Vincente Minnelli,13980,2
Stanley Donen,13284,2
Blake Edwards,1927,2
Alfred Hitchcock,2636,2
Alfred Hitchcock,2636,2
Frank Capra,2662,0
George Cukor,14674,0
Mark Sandrich,30165,2
Alfred Hitchcock,2636,2
Billy Wilder,3146,0
Billy Wilder,3146,0
Stanley Donen,13284,2
Michael Curtiz,4109,0
John Huston,6593,2
George Cukor,14674,0
Billy Wilder,3146,0
William Wyler,10001,2
Walter Lang,80570,2
Vincente Minnelli,13980,2
Victor Fleming,9049,0
Victor Fleming,9049,0
Richard Benjamin,24318,2
Billy Wilder,3146,0
Orson Welles,40,2
Stanley Kubrick,240,2
Mitchell Leisen,108914,2
Joseph L. Mankiewicz,10601,2
George Cukor,14674,0
Alfred Hitchcock,2636,2
Alfred Hitchcock,2636,2
Alfred Hitchcock,2636,2
Alfred Hitchcock,2636,2
Leo McCarey,30008,2
Alfred Hitchcock,2636,2
Vincente Minnelli,13980,2
Vincente Minnelli,13980,2
Ernst Lubitsch,2428,2
Billy Wilder,3146,0
Vincente Minnelli,13980,2
Vincente Minnelli,13980,2
Michael Curtiz,4109,0
William Keighley,67426,2
Rouben Mamoulian,29595,2
Otto Preminger,834,2
Joseph L. Mankiewicz,10601,2
Frank Capra,2662,0
Mark Sandrich,30165,2
Ernst Lubitsch,2428,2
Gregory La Cava,74659,2
George Stevens,18738,2
Elia Kazan,2746,2
W.S. Van Dyke,32427,2
Howard Hawks,11435,0
Michael Anderson,20412,2
Frank Capra,2662,0
Frank Capra,2662,0
Howard Hawks,11435,0
George Stevens,18738,2
Victor Sjöström,8741,2
William A. Wellman,14643,2
John Cromwell,31497,2
Archie Mayo,81165,2
John Cromwell,31497,2
Busby Berkeley,95293,2
Henry Koster,33064,2
James Edward Grant,50302,2
Alfred Hitchcock,2636,2
Lewis Milestone,2000,0
Howard Hawks,11435,0
Howard Hughes,13348,2
George A. Romero,14999,2
John Huston,6593,2
John Huston,6593,2
Richard Brooks,3632,2
Richard Brooks,3632,2
Frank Capra,2662,0
John Cromwell,31497,2
Victor Schertzinger,148849,2
Frank Borzage,14855,2
Edwin L. Marin,78053,2
Thaddeus O'Sullivan,72467,0
Corey Yuen Kwai,35452,0
Darrell James Roodt,16730,0
Joshua Logan,86051,2
Chris Newby,1063201,0
Richard Schenkman,76462,2
Allan Miller,1468019,0
Carroll Ballard,68212,2
Lance Young,549024,0
Allison Anders,3110,1
Joseph Vilsmaier,14614,2
Ringo Lam,26767,2
Neil Jordan,17016,0
Amy Holden Jones,21371,1
Matthew Broderick,4756,2
Stanley Tucci,2283,2
Campbell Scott,55152,2
Walter Hill,1723,2
Robert M. Young,86293,2
F. Gary Gray,37932,2
John Herzfeld,27846,2
Reb Braddock,71825,0
René Gainville,584483,0
John Walsh,1217874,0
Michael Apted,10781,2
John Gray,35155,2
Robert Lieberman,27146,2
James Foley,15890,2
Norman Tokar,83413,2
Norman Foster,87459,2
John Hough,19032,2
Robert Stevenson,5834,2
Robert Stevenson,5834,2
Robert Stevenson,5834,2
David Swift,29715,0
David Swift,29715,0
Duwayne Dunham,6592,2
Charles Barton,30099,2
Ken Annakin,35318,2
Robert Stevenson,5834,2
